community,treatment,P_time,V_time,rep,dilution,P,V,V_prop,P_prop,P_density,V_density,productivity
VaPD7,Coculture,10 weeks,ancestor,7,5,18,22,0.55,0.45,51428571.43,62857142.86,40
VD1PD1,Coculture,10 weeks,10 weeks,1,5,19,23,0.547619048,0.452380952,54285714.29,65714285.71,42
VD7PD7,Coculture,10 weeks,10 weeks,7,5,15,18,0.545454545,0.454545455,42857142.86,51428571.43,33
VE7PF7,Community,10 weeks,6 weeks,7,5,25,29,0.537037037,0.462962963,71428571.43,82857142.86,54
VD2PD2,Coculture,10 weeks,10 weeks,2,5,23,26,0.530612245,0.469387755,65714285.71,74285714.29,49
VA5PB5,Mono,10 weeks,6 weeks,2,5,24,27,0.529411765,0.470588235,68571428.57,77142857.14,51
PaVB3,Mono,ancestor,10 weeks,1,5,18,20,0.526315789,0.473684211,51428571.43,57142857.14,38
VaPD3,Coculture,10 weeks,ancestor,3,5,18,20,0.526315789,0.473684211,51428571.43,57142857.14,38
VD1PC1,Coculture,6 weeks,10 weeks,1,5,22,24,0.52173913,0.47826087,62857142.86,68571428.57,46
PaVE1,Community,ancestor,6 weeks,1,5,19,20,0.512820513,0.487179487,54285714.29,57142857.14,39
VC1PC1,Coculture,6 weeks,6 weeks,1,5,25,26,0.509803922,0.490196078,71428571.43,74285714.29,51
VaPD2,Coculture,10 weeks,ancestor,2,5,28,28,0.5,0.5,80000000,80000000,56
VA3PB2,Mono,10 weeks,6 weeks,1,5,21,21,0.5,0.5,60000000,60000000,42
VaPA7,Mono,6 weeks,ancestor,4,5,20,20,0.5,0.5,57142857.14,57142857.14,40
VA6PA6,Mono,6 weeks,6 weeks,3,5,19,19,0.5,0.5,54285714.29,54285714.29,38
VaPC4,Coculture,6 weeks,ancestor,4,5,18,18,0.5,0.5,51428571.43,51428571.43,36
VaPB5,Mono,10 weeks,ancestor,2,5,12,12,0.5,0.5,34285714.29,34285714.29,24
VE1PF1,Community,10 weeks,6 weeks,1,5,28,27,0.490909091,0.509090909,80000000,77142857.14,55
VC7PC7,Coculture,6 weeks,6 weeks,7,5,25,24,0.489795918,0.510204082,71428571.43,68571428.57,49
VaPB7,Mono,10 weeks,ancestor,4,5,25,23,0.479166667,0.520833333,71428571.43,65714285.71,48
PaVa3,ancestor,ancestor,ancestor,11,5,22,20,0.476190476,0.523809524,62857142.86,57142857.14,42
PaVB7,Mono,ancestor,10 weeks,4,5,10,9,0.473684211,0.526315789,28571428.57,25714285.71,19
PaVa2,ancestor,ancestor,ancestor,10,5,29,26,0.472727273,0.527272727,82857142.86,74285714.29,55
VD3PC3,Coculture,6 weeks,10 weeks,3,5,18,16,0.470588235,0.529411765,51428571.43,45714285.71,34
VC5PC5,Coculture,6 weeks,6 weeks,5,5,21,18,0.461538462,0.538461538,60000000,51428571.43,39
PaVF2,Community,ancestor,10 weeks,2,5,25,21,0.456521739,0.543478261,71428571.43,60000000,46
VaPA5,Mono,6 weeks,ancestor,2,5,17,14,0.451612903,0.548387097,48571428.57,40000000,31
PaVA3,Mono,ancestor,6 weeks,1,5,28,23,0.450980392,0.549019608,80000000,65714285.71,51
VC2PD2,Coculture,10 weeks,6 weeks,2,5,27,22,0.448979592,0.551020408,77142857.14,62857142.86,49
VB7PA7,Mono,6 weeks,10 weeks,4,5,21,17,0.447368421,0.552631579,60000000,48571428.57,38
VB6PB6,Mono,10 weeks,10 weeks,3,5,21,17,0.447368421,0.552631579,60000000,48571428.57,38
VA7PB7,Mono,10 weeks,6 weeks,4,5,19,15,0.441176471,0.558823529,54285714.29,42857142.86,34
VC3PD3,Coculture,10 weeks,6 weeks,3,5,23,18,0.43902439,0.56097561,65714285.71,51428571.43,41
VC4PD4,Coculture,10 weeks,6 weeks,4,5,26,19,0.422222222,0.577777778,74285714.29,54285714.29,45
VB5PB5,Mono,10 weeks,10 weeks,2,5,34,24,0.413793103,0.586206897,97142857.14,68571428.57,58
VB3PB2,Mono,10 weeks,10 weeks,1,5,26,18,0.409090909,0.590909091,74285714.29,51428571.43,44
